Loading datasets...
Datasets loaded to GPU.
Worker 4/8: sweep 0acb79e7, 25/200 runs

[worker 4] Run 1/25 | config: {'batch_size': 8, 'opt': 'adam', 'lr': 0.0001, 'wd': 0, 'rdm_seed': 71, 'n_layer': 3, 'n_head': 4, 'n_embd': 64, 'embd_pdrop': 0, 'resid_pdrop': 0, 'attn_pdrop': 0}
progress,datapoints_seen,train_loss,train_acc,indist_acc,ood_acc
[48 of 100],480000,0.000,1.000,1.000,0.469
[49 of 100],490000,0.003,0.999,1.000,0.513
[50 of 100],500000,0.001,0.999,1.000,0.467
[51 of 100],510000,0.000,1.000,1.000,0.494
[52 of 100],520000,0.002,0.999,1.000,0.584
[53 of 100],530000,0.000,1.000,1.000,0.575
[54 of 100],540000,0.000,1.000,1.000,0.575
[55 of 100],550000,0.000,1.000,1.000,0.566
[56 of 100],560000,0.008,0.999,1.000,0.546
[57 of 100],570000,0.000,1.000,1.000,0.525
[58 of 100],580000,0.000,1.000,1.000,0.504
[59 of 100],590000,0.000,1.000,1.000,0.505
[60 of 100],600000,0.000,1.000,1.000,0.501
[61 of 100],610000,0.000,1.000,1.000,0.501
[62 of 100],620000,0.000,1.000,1.000,0.495
[63 of 100],630000,0.000,1.000,1.000,0.489
[64 of 100],640000,0.000,1.000,1.000,0.487
[65 of 100],650000,0.000,1.000,1.000,0.485
[66 of 100],660000,0.000,1.000,1.000,0.481
[67 of 100],670000,0.000,1.000,1.000,0.479
[68 of 100],680000,0.000,1.000,1.000,0.476
[69 of 100],690000,0.000,1.000,1.000,0.470
[70 of 100],700000,0.000,1.000,1.000,0.466
[71 of 100],710000,0.000,1.000,1.000,0.467
[72 of 100],720000,0.000,1.000,1.000,0.467
[73 of 100],730000,0.000,1.000,1.000,0.466
[74 of 100],740000,0.000,1.000,1.000,0.465
[75 of 100],750000,0.000,1.000,1.000,0.465
[76 of 100],760000,0.000,1.000,1.000,0.465
[77 of 100],770000,0.000,1.000,1.000,0.465
[78 of 100],780000,0.000,1.000,1.000,0.463
[79 of 100],790000,0.000,1.000,1.000,0.465
[80 of 100],800000,0.000,1.000,1.000,0.466
[81 of 100],810000,0.000,1.000,1.000,0.466
[82 of 100],820000,0.000,1.000,1.000,0.466
[83 of 100],830000,0.000,1.000,1.000,0.467
[84 of 100],840000,0.000,1.000,1.000,0.467
[85 of 100],850000,0.000,1.000,1.000,0.469
[86 of 100],860000,0.000,1.000,1.000,0.469
[87 of 100],870000,0.000,1.000,1.000,0.468
[88 of 100],880000,0.000,1.000,1.000,0.469
[89 of 100],890000,0.000,1.000,1.000,0.469
[90 of 100],900000,0.000,1.000,1.000,0.468
[91 of 100],910000,0.000,1.000,1.000,0.468
[92 of 100],920000,0.000,1.000,1.000,0.468
[93 of 100],930000,0.000,1.000,1.000,0.470
[94 of 100],940000,0.000,1.000,1.000,0.469
[95 of 100],950000,0.000,1.000,1.000,0.470
[96 of 100],960000,0.000,1.000,1.000,0.470
[97 of 100],970000,0.000,1.000,1.000,0.471
[98 of 100],980000,0.000,1.000,1.000,0.471
[99 of 100],990000,0.000,1.000,1.000,0.471
[100 of 100],1000000,0.000,1.000,1.000,0.471

