sweep_id,run_id,batch_size,opt,lr,wd,rdm_seed,n_layer,n_head,n_embd,embd_pdrop,resid_pdrop,attn_pdrop,datapoints_seen,train_acc,indist_acc,ood_acc
0acb79e7,74f334e4,8,adam,0.0001,0,113,3,4,64,0,0,0,200000,1.0,1.0,0.977000057697296
0acb79e7,c6962a2b,8,adam,0.0001,0,71,3,4,64,0,0,0,200000,1.0,1.0,0.6240000128746033
0acb79e7,7ef20fd6,8,adam,0.0001,0,97,3,4,64,0,0,0,210000,1.0,1.0,0.8350000381469727
0acb79e7,8e1c81e8,8,adam,0.0001,0,53,3,4,64,0,0,0,210000,1.0,1.0,0.8880000710487366
0acb79e7,26bef1f1,8,adam,0.0001,0,19,3,4,64,0,0,0,210000,1.0,1.0,0.8340000510215759
0acb79e7,84b7f2a7,8,adam,0.0001,0,37,3,4,64,0,0,0,210000,1.0,1.0,0.687000036239624
0acb79e7,e19a7227,8,adam,0.0001,0,131,3,4,64,0,0,0,210000,1.0,1.0,0.8650000691413879
0acb79e7,6dc71cae,8,adam,0.0001,0,7,3,4,64,0,0,0,270000,1.0,1.0,0.3240000009536743
0acb79e7,7ef20fd6,8,adam,0.0001,0,97,3,4,64,0,0,0,220000,1.0,1.0,0.8350000381469727
0acb79e7,74f334e4,8,adam,0.0001,0,113,3,4,64,0,0,0,210000,1.0,1.0,0.9790000319480896
0acb79e7,c6962a2b,8,adam,0.0001,0,71,3,4,64,0,0,0,210000,1.0,1.0,0.6330000162124634
0acb79e7,6dc71cae,8,adam,0.0001,0,7,3,4,64,0,0,0,280000,1.0,1.0,0.3210000097751617
0acb79e7,8e1c81e8,8,adam,0.0001,0,53,3,4,64,0,0,0,220000,1.0,1.0,0.8870000243186951
0acb79e7,26bef1f1,8,adam,0.0001,0,19,3,4,64,0,0,0,220000,1.0,1.0,0.8480000495910645
0acb79e7,7ef20fd6,8,adam,0.0001,0,97,3,4,64,0,0,0,230000,1.0,1.0,0.8330000638961792
0acb79e7,84b7f2a7,8,adam,0.0001,0,37,3,4,64,0,0,0,220000,1.0,1.0,0.687000036239624
0acb79e7,e19a7227,8,adam,0.0001,0,131,3,4,64,0,0,0,220000,1.0,1.0,0.8670000433921814
0acb79e7,74f334e4,8,adam,0.0001,0,113,3,4,64,0,0,0,220000,1.0,1.0,0.9820000529289246
0acb79e7,6dc71cae,8,adam,0.0001,0,7,3,4,64,0,0,0,290000,1.0,1.0,0.3160000145435333
0acb79e7,c6962a2b,8,adam,0.0001,0,71,3,4,64,0,0,0,220000,1.0,1.0,0.6600000262260437
0acb79e7,7ef20fd6,8,adam,0.0001,0,97,3,4,64,0,0,0,240000,1.0,1.0,0.8330000638961792
0acb79e7,6dc71cae,8,adam,0.0001,0,7,3,4,64,0,0,0,300000,1.0,1.0,0.3140000104904175
0acb79e7,8e1c81e8,8,adam,0.0001,0,53,3,4,64,0,0,0,230000,1.0,1.0,0.8880000710487366
0acb79e7,26bef1f1,8,adam,0.0001,0,19,3,4,64,0,0,0,230000,1.0,1.0,0.8560000658035278
